Data,Info,Valor,Info1,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Info9,Info10
2019-03-31,imoveis_implantacao_condominio_ro,"76,00",imoveis,implantacao,condominio,ro,,,,,,
2021-07-31,imoveis_valor_avaliacao_mg,"190.000,00",imoveis,valor,avaliacao,mg,,,,,,
2019-09-30,imoveis_dormitorio_1_sc,"306,00",imoveis,dormitorio,1,sc,,,,,,
2020-02-29,imoveis_tipo_apartamento_df,"115,00",imoveis,tipo,apartamento,df,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_rs,"76,00",imoveis,dormitorio,4,mais,rs,,,,,
2018-11-30,imoveis_dormitorio_3_ma,"154,00",imoveis,dormitorio,3,ma,,,,,,
2019-03-31,imoveis_implantacao_condominio_rr,"4,00",imoveis,implantacao,condominio,rr,,,,,,
2021-07-31,imoveis_valor_avaliacao_ms,"185.000,00",imoveis,valor,avaliacao,ms,,,,,,
2019-09-30,imoveis_dormitorio_1_se,"19,00",imoveis,dormitorio,1,se,,,,,,
2020-02-29,imoveis_tipo_apartamento_es,"93,00",imoveis,tipo,apartamento,es,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_sc,"30,00",imoveis,dormitorio,4,mais,sc,,,,,
2018-11-30,imoveis_dormitorio_3_mg,"1.094,00",imoveis,dormitorio,3,mg,,,,,,
2019-03-31,imoveis_implantacao_condominio_rs,"1.965,00",imoveis,implantacao,condominio,rs,,,,,,
2021-07-31,imoveis_valor_avaliacao_mt,"215.000,00",imoveis,valor,avaliacao,mt,,,,,,
2019-09-30,imoveis_dormitorio_1_sp,"3.823,00",imoveis,dormitorio,1,sp,,,,,,
2020-02-29,imoveis_tipo_apartamento_go,"890,00",imoveis,tipo,apartamento,go,,,,,,
2018-01-31,imoveis_dormitorio_4_mais_se,"9,00",imoveis,dormitorio,4,mais,se,,,,,
2018-11-30,imoveis_dormitorio_3_ms,"178,00",imoveis,dormitorio,3,ms,,,,,,
2019-03-31,imoveis_implantacao_condominio_sc,"1.205,00",imoveis,implantacao,condominio,sc,,,,,,
